campaign_id,goal,country,currency,launched_date,deadline_date,category,subcategory,campaign_duration_days,launch_year,launch_month,launch_weekday,success
0,8500.0,US,USD,2015-06-22,2015-07-23,film & video,television,31,2015,6,Monday,1
1,10275.0,US,USD,2017-01-31,2017-03-02,film & video,television,30,2017,1,Tuesday,1
2,500.0,GB,GBP,2016-02-05,2016-02-15,film & video,television,10,2016,2,Friday,1
3,10000.0,US,USD,2014-07-08,2014-08-07,film & video,television,30,2014,7,Tuesday,1
4,44000.0,US,USD,2015-11-19,2015-12-19,film & video,television,30,2015,11,Thursday,1
5,3999.0,US,USD,2016-07-12,2016-07-29,film & video,television,17,2016,7,Tuesday,1
6,8000.0,US,USD,2014-06-04,2014-06-14,film & video,television,10,2014,6,Wednesday,1
7,9000.0,US,USD,2016-05-26,2016-07-05,film & video,television,40,2016,5,Thursday,1
8,3500.0,US,USD,2016-04-08,2016-04-15,film & video,television,7,2016,4,Friday,1
9,500.0,US,USD,2016-03-18,2016-04-17,film & video,television,30,2016,3,Friday,1
10,3000.0,US,USD,2014-05-21,2014-06-25,film & video,television,35,2014,5,Wednesday,1
11,5000.0,US,USD,2016-07-21,2016-08-22,film & video,television,32,2016,7,Thursday,1
12,30000.0,US,USD,2014-06-01,2014-07-16,film & video,television,45,2014,6,Sunday,1
13,3500.0,US,USD,2016-05-18,2016-06-23,film & video,television,36,2016,5,Wednesday,1
14,6000.0,AU,AUD,2014-06-18,2014-07-13,film & video,television,25,2014,6,Wednesday,1
15,2000.0,ES,EUR,2015-09-09,2015-09-27,film & video,television,18,2015,9,Wednesday,1
16,12000.0,US,USD,2014-05-01,2014-06-16,film & video,television,46,2014,5,Thursday,1
17,1500.0,GB,GBP,2014-10-05,2014-11-04,film & video,television,30,2014,10,Sunday,1
18,30000.0,US,USD,2014-08-18,2014-09-17,film & video,television,30,2014,8,Monday,1
19,850.0,US,USD,2015-06-20,2015-07-20,film & video,television,30,2015,6,Saturday,1
20,2000.0,US,USD,2015-07-15,2015-09-13,film & video,television,60,2015,7,Wednesday,1
21,18500.0,US,USD,2014-08-27,2014-09-26,film & video,television,30,2014,8,Wednesday,1
22,350.0,US,USD,2014-12-16,2015-01-01,film & video,television,16,2014,12,Tuesday,1
23,2000.0,US,USD,2015-04-03,2015-04-30,film & video,television,27,2015,4,Friday,1
24,35000.0,US,USD,2015-08-13,2015-09-15,film & video,television,33,2015,8,Thursday,1
25,600.0,US,USD,2015-11-10,2016-01-09,film & video,television,60,2015,11,Tuesday,1
26,1250.0,US,USD,2014-07-08,2014-08-17,film & video,television,40,2014,7,Tuesday,1
27,20000.0,NZ,NZD,2014-10-17,2014-11-16,film & video,television,30,2014,10,Friday,1
28,12000.0,US,USD,2015-11-16,2015-12-16,film & video,television,30,2015,11,Monday,1
29,3000.0,GB,GBP,2014-06-22,2014-07-22,film & video,television,30,2014,6,Sunday,1
30,4000.0,US,USD,2014-07-22,2014-08-21,film & video,television,30,2014,7,Tuesday,1
31,13.0,US,USD,2016-01-07,2016-01-25,film & video,television,18,2016,1,Thursday,1
32,28450.0,US,USD,2016-04-01,2016-05-13,film & video,television,42,2016,4,Friday,1
33,5250.0,US,USD,2015-10-09,2015-11-08,film & video,television,30,2015,10,Friday,1
34,2600.0,US,USD,2014-07-21,2014-08-05,film & video,television,15,2014,7,Monday,1
35,1000.0,US,USD,2015-04-04,2015-04-28,film & video,television,24,2015,4,Saturday,1
36,6000.0,US,USD,2015-03-05,2015-04-04,film & video,television,30,2015,3,Thursday,1
37,22000.0,US,USD,2015-01-28,2015-02-27,film & video,television,30,2015,1,Wednesday,1
38,2500.0,US,USD,2013-04-11,2013-05-11,film & video,television,30,2013,4,Thursday,1
39,25000.0,GB,GBP,2014-04-25,2014-05-25,film & video,television,30,2014,4,Friday,1
40,2000.0,US,USD,2014-05-30,2014-06-19,film & video,television,20,2014,5,Friday,1
